Date,Price,European Union GDP Growth,Switzerland GDP Growth,EUR Gold Prices (onz),CHF Gold Prices (onz),Oil Prices (Mean)
06/28/2024,0.9628,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/27/2024,0.9616,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/26/2024,0.9581,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/25/2024,0.9584,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/24/2024,0.958,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/21/2024,0.9555,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/20/2024,0.9535,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/19/2024,0.9499,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/18/2024,0.9493,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/17/2024,0.9546,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/14/2024,0.9524,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/13/2024,0.9594,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/12/2024,0.9663,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/11/2024,0.9637,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/10/2024,0.9647,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/07/2024,0.9676,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/06/2024,0.9681,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/05/2024,0.9707,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/04/2024,0.9678,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
06/03/2024,0.9763,0.30%,0.40%,"2,161.7","2,078.2",28.52802703
05/31/2024,0.9777,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/30/2024,0.9781,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/29/2024,0.986,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/28/2024,0.9902,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/27/2024,0.9921,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/24/2024,0.9919,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/23/2024,0.9886,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/22/2024,0.9908,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/21/2024,0.9884,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/20/2024,0.9882,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/17/2024,0.988,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/16/2024,0.9844,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/15/2024,0.9816,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/14/2024,0.9805,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/13/2024,0.9797,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
05/10/2024,0.976,0.30%,0.40%,"2,175.4","2,138.2",81.79694847
